,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger
273,ah,40,Danish,Male,./final_images\BM03_HC_happy.jpg,i,284.2176321998704,correct,happy,black,male,20,200,220
274,ah,40,Danish,Male,./final_images\BF19_HO_happy.jpg,i,284.9066200000234,correct,happy,black,female,20,200,220
275,ah,40,Danish,Male,./final_images\WF03_SC_sad.jpg,e,285.72558069997467,correct,sad,white,female,30,100,130
276,ah,40,Danish,Male,./final_images\BM13_SO_sad.jpg,e,287.78759590000845,correct,sad,black,male,30,100,130
277,ah,40,Danish,Male,./final_images\BF02_SO_sad.jpg,e,288.5295813998673,correct,sad,black,female,30,100,130
278,ah,40,Danish,Male,./final_images\BF05_SO_sad.jpg,e,289.94362699985504,correct,sad,black,female,30,100,130
279,ah,40,Danish,Male,./final_images\BF19_NO_neutral.jpg,e,290.62863079993986,neutral,neutral,black,female,40,100,140
280,ah,40,Danish,Male,./final_images\BM15_SO_sad.jpg,e,291.33660409995355,correct,sad,black,male,30,100,130
281,ah,40,Danish,Male,./final_images\BF20_HC_happy.jpg,e,292.0856743999757,incorrect,happy,black,female,20,100,50
282,ah,40,Danish,Male,./final_images\BF12_HC_happy.jpg,i,293.5986732998863,correct,happy,black,female,20,200,220
283,ah,40,Danish,Male,./final_images\AM02_HC_happy.jpg,i,294.5296149998903,correct,happy,black,male,20,200,220
284,ah,40,Danish,Male,./final_images\WF11_HO_happy.jpg,i,295.54960879986174,correct,happy,white,female,20,200,220
285,ah,40,Danish,Male,./final_images\WF15_HC_happy.jpg,i,296.3105265998747,correct,happy,white,female,20,200,220
286,ah,40,Danish,Male,./final_images\BM04_NC_neutral.jpg,i,297.37066849996336,neutral,neutral,black,male,40,200,140
287,ah,40,Danish,Male,./final_images\BF17_NO_neutral.jpg,e,300.4906205998268,neutral,neutral,black,female,40,100,140
288,ah,40,Danish,Male,./final_images\AM05_HO_happy.jpg,i,301.27763389982283,correct,happy,black,male,20,200,220
289,ah,40,Danish,Male,./final_images\AM07_SC_sad.jpg,e,302.07070769998245,correct,sad,black,male,30,100,130
290,ah,40,Danish,Male,./final_images\BF18_NO_neutral.jpg,e,302.94166040001437,neutral,neutral,black,female,40,100,140
291,ah,40,Danish,Male,./final_images\WF05_NO_neutral.jpg,e,303.6376115998719,neutral,neutral,white,female,40,100,140
292,ah,40,Danish,Male,./final_images\BF02_NO_neutral.jpg,e,304.39466800005175,neutral,neutral,black,female,40,100,140
293,ah,40,Danish,Male,./final_images\AM09_HO_happy.jpg,i,305.159612899879,correct,happy,black,male,20,200,220
294,ah,40,Danish,Male,./final_images\WM09_SO_sad.jpg,e,306.0617446999531,correct,sad,white,male,30,100,130
295,ah,40,Danish,Male,./final_images\BF03_HO_happy.jpg,i,306.8686070998665,correct,happy,black,female,20,200,220
296,ah,40,Danish,Male,./final_images\WF09_HC_happy.jpg,i,307.60948969982564,correct,happy,white,female,20,200,220
297,ah,40,Danish,Male,./final_images\WF12_SC_sad.jpg,e,308.56759190000594,correct,sad,white,female,30,100,130
298,ah,40,Danish,Male,./final_images\WM04_SC_sad.jpg,e,309.37761839991435,correct,sad,white,male,30,100,130
299,ah,40,Danish,Male,./final_images\AF09_SO_sad.jpg,e,310.11158309993334,correct,sad,black,female,30,100,130
300,ah,40,Danish,Male,./final_images\BM16_NO_neutral.jpg,e,311.32157939998433,neutral,neutral,black,male,40,100,140
301,ah,40,Danish,Male,./final_images\BF14_NC_neutral.jpg,e,312.2106243998278,neutral,neutral,black,female,40,100,140
302,ah,40,Danish,Male,./final_images\WF03_HC_happy.jpg,i,313.1666598999873,correct,happy,white,female,20,200,220
303,ah,40,Danish,Male,./final_images\BF18_NC_neutral.jpg,e,314.66353839985095,neutral,neutral,black,female,40,100,140
304,ah,40,Danish,Male,./final_images\AF10_SC_sad.jpg,e,315.8676336000208,correct,sad,black,female,30,100,130
305,ah,40,Danish,Male,./final_images\AF12_SO_sad.jpg,e,316.83162359986454,correct,sad,black,female,30,100,130
306,ah,40,Danish,Male,./final_images\BF14_HO_happy.jpg,i,317.67154400004074,correct,happy,black,female,20,200,220
307,ah,40,Danish,Male,./final_images\AF10_HC_happy.jpg,i,318.37575629982166,correct,happy,black,female,20,200,220
308,ah,40,Danish,Male,./final_images\WM06_SO_sad.jpg,i,319.0566079998389,incorrect,sad,white,male,30,200,50
