Unnamed: 0,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger,ethnicity_trigger
93,group12_sub1,23,danish,male,./final_images\BF08_SO_sad.jpg,e,78.82384710013866,correct,sad,black,female,30,100,130,32
94,group12_sub1,23,danish,male,./final_images\BM09_HO_happy.jpg,i,79.59673710004427,correct,happy,black,male,20,200,220,22
95,group12_sub1,23,danish,male,./final_images\BF06_NO_neutral.jpg,e,80.6088325001765,neutral,neutral,black,female,40,100,140,42
96,group12_sub1,23,danish,male,./final_images\WF14_NO_neutral.jpg,e,81.48989380011335,neutral,neutral,white,female,40,100,140,43
97,group12_sub1,23,danish,male,./final_images\BF18_SC_sad.jpg,i,82.2078238001559,incorrect,sad,black,female,30,200,50,32
98,group12_sub1,23,danish,male,./final_images\BM01_HO_happy.jpg,i,83.04080360010266,correct,happy,black,male,20,200,220,22
99,group12_sub1,23,danish,male,./final_images\WF05_NO_neutral.jpg,e,84.0968131001573,neutral,neutral,white,female,40,100,140,43
100,group12_sub1,23,danish,male,./final_images\BM13_SO_sad.jpg,e,85.22877690009773,correct,sad,black,male,30,100,130,32
101,group12_sub1,23,danish,male,./final_images\BM14_HC_happy.jpg,i,86.09479140001349,correct,happy,black,male,20,200,220,22
102,group12_sub1,23,danish,male,./final_images\WF09_NC_neutral.jpg,e,87.28576700016856,neutral,neutral,white,female,40,100,140,43
103,group12_sub1,23,danish,male,./final_images\WF06_SC_sad.jpg,e,88.14399090013467,correct,sad,white,female,30,100,130,33
104,group12_sub1,23,danish,male,./final_images\BM08_NO_neutral.jpg,e,89.34794700006023,neutral,neutral,black,male,40,100,140,42
105,group12_sub1,23,danish,male,./final_images\WF14_HO_happy.jpg,i,90.22676960006356,correct,happy,white,female,20,200,220,23
106,group12_sub1,23,danish,male,./final_images\BF13_NC_neutral.jpg,e,91.2027575999964,neutral,neutral,black,female,40,100,140,42
107,group12_sub1,23,danish,male,./final_images\BF16_HO_happy.jpg,i,91.94190610013902,correct,happy,black,female,20,200,220,22
108,group12_sub1,23,danish,male,./final_images\WM01_NO_neutral.jpg,e,93.13484450010584,neutral,neutral,white,male,40,100,140,43
109,group12_sub1,23,danish,male,./final_images\BF15_SC_sad.jpg,e,93.93581920000724,correct,sad,black,female,30,100,130,32
110,group12_sub1,23,danish,male,./final_images\WM05_SO_sad.jpg,e,95.69081489997916,correct,sad,white,male,30,100,130,33
111,group12_sub1,23,danish,male,./final_images\WM06_NO_neutral.jpg,i,96.53170030005276,neutral,neutral,white,male,40,200,140,43
112,group12_sub1,23,danish,male,./final_images\WM03_NO_neutral.jpg,i,97.38074330007656,neutral,neutral,white,male,40,200,140,43
113,group12_sub1,23,danish,male,./final_images\WM01_SC_sad.jpg,e,98.29997260007076,correct,sad,white,male,30,100,130,33
114,group12_sub1,23,danish,male,./final_images\BF16_SO_sad.jpg,e,99.24880820000544,correct,sad,black,female,30,100,130,32
115,group12_sub1,23,danish,male,./final_images\WF09_HC_happy.jpg,i,100.03184329997748,correct,happy,white,female,20,200,220,23
