Unnamed: 0,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger,ethnicity_trigger
22,ah,40,Danish,male,./final_images\BF07_SO_sad.jpg,e,24.10484189982526,correct,sad,black,female,30,100,130,32
23,ah,40,Danish,male,./final_images\WF11_NC_neutral.jpg,e,25.1358498998452,neutral,neutral,white,female,40,100,140,43
24,ah,40,Danish,male,./final_images\WF10_NO_neutral.jpg,e,25.843858999898657,neutral,neutral,white,female,40,100,140,43
25,ah,40,Danish,male,./final_images\BF08_SO_sad.jpg,e,26.72689839988016,correct,sad,black,female,30,100,130,32
26,ah,40,Danish,male,./final_images\WM10_HO_happy.jpg,i,28.38885029987432,correct,happy,white,male,20,200,220,23
27,ah,40,Danish,male,./final_images\WF15_NC_neutral.jpg,e,29.46382259996608,neutral,neutral,white,female,40,100,140,43
28,ah,40,Danish,male,./final_images\BF10_SC_sad.jpg,e,30.606855399906635,correct,sad,black,female,30,100,130,32
29,ah,40,Danish,male,./final_images\WM07_NO_neutral.jpg,e,31.9688668998424,neutral,neutral,white,male,40,100,140,43
30,ah,40,Danish,male,./final_images\BM06_HO_happy.jpg,i,32.954859300050884,correct,happy,black,male,20,200,220,22
31,ah,40,Danish,male,./final_images\AM11_HO_happy.jpg,i,34.091925899963826,correct,happy,asian,male,20,200,220,21
32,ah,40,Danish,male,./final_images\WM10_HC_happy.jpg,i,34.87990059982985,correct,happy,white,male,20,200,220,23
33,ah,40,Danish,male,./final_images\BM15_HC_happy.jpg,i,35.58486619987525,correct,happy,black,male,20,200,220,22
34,ah,40,Danish,male,./final_images\BF19_NC_neutral.jpg,e,36.53110579983331,neutral,neutral,black,female,40,100,140,42
35,ah,40,Danish,male,./final_images\BM05_SC_sad.jpg,e,37.350858099991456,correct,sad,black,male,30,100,130,32
36,ah,40,Danish,male,./final_images\BM03_NC_neutral.jpg,e,38.14989080000669,neutral,neutral,black,male,40,100,140,42
37,ah,40,Danish,male,./final_images\BF13_HC_happy.jpg,i,40.993891099933535,correct,happy,black,female,20,200,220,22
38,ah,40,Danish,male,./final_images\BM01_NC_neutral.jpg,e,44.23783460003324,neutral,neutral,black,male,40,100,140,42
39,ah,40,Danish,male,./final_images\WF14_NO_neutral.jpg,e,45.05484379990958,neutral,neutral,white,female,40,100,140,43
40,ah,40,Danish,male,./final_images\BF01_HO_happy.jpg,i,45.83484250004403,correct,happy,black,female,20,200,220,22
41,ah,40,Danish,male,./final_images\BM05_NO_neutral.jpg,e,46.78086009994149,neutral,neutral,black,male,40,100,140,42
42,ah,40,Danish,male,./final_images\WM09_SC_sad.jpg,e,47.52681229985319,correct,sad,white,male,30,100,130,33
43,ah,40,Danish,male,./final_images\AF07_HO_happy.jpg,i,48.18590549984947,correct,happy,asian,female,20,200,220,21
44,ah,40,Danish,male,./final_images\WM04_HC_happy.jpg,i,49.00996929989197,correct,happy,white,male,20,200,220,23
45,ah,40,Danish,male,./final_images\WM02_SO_sad.jpg,e,49.77884919987992,correct,sad,white,male,30,100,130,33
46,ah,40,Danish,male,./final_images\BM16_HC_happy.jpg,i,50.5648296000436,correct,happy,black,male,20,200,220,22
47,ah,40,Danish,male,./final_images\AM08_SC_sad.jpg,e,51.51688169990666,correct,sad,asian,male,30,100,130,31
48,ah,40,Danish,male,./final_images\BF15_HC_happy.jpg,i,52.76282499986701,correct,happy,black,female,20,200,220,22
49,ah,40,Danish,male,./final_images\BF04_SC_sad.jpg,e,53.679873999906704,correct,sad,black,female,30,100,130,32
50,ah,40,Danish,male,./final_images\AM02_SC_sad.jpg,e,54.44886490004137,correct,sad,asian,male,30,100,130,31
51,ah,40,Danish,male,./final_images\WF11_HC_happy.jpg,e,55.37690220004879,incorrect,happy,white,female,20,100,50,23
52,ah,40,Danish,male,./final_images\BF03_NC_neutral.jpg,e,57.06784529983997,neutral,neutral,black,female,40,100,140,42
53,ah,40,Danish,male,./final_images\WM03_NC_neutral.jpg,e,57.81587679986842,neutral,neutral,white,male,40,100,140,43
54,ah,40,Danish,male,./final_images\AF08_HO_happy.jpg,i,58.80883729993366,correct,happy,asian,female,20,200,220,21
55,ah,40,Danish,male,./final_images\WM13_HC_happy.jpg,i,59.49576519988477,correct,happy,white,male,20,200,220,23
56,ah,40,Danish,male,./final_images\WF06_HO_happy.jpg,i,60.131936399964616,correct,happy,white,female,20,200,220,23
57,ah,40,Danish,male,./final_images\WF14_SO_sad.jpg,e,60.893850199878216,correct,sad,white,female,30,100,130,33
58,ah,40,Danish,male,./final_images\BF18_HC_happy.jpg,i,61.74579089996405,correct,happy,black,female,20,200,220,22
59,ah,40,Danish,male,./final_images\BF14_SO_sad.jpg,e,62.738345299847424,correct,sad,black,female,30,100,130,32
60,ah,40,Danish,male,./final_images\WM11_NC_neutral.jpg,e,63.93387139984407,neutral,neutral,white,male,40,100,140,43
61,ah,40,Danish,male,./final_images\WF10_SO_sad.jpg,e,64.71786909992807,correct,sad,white,female,30,100,130,33
62,ah,40,Danish,male,./final_images\WF14_HC_happy.jpg,i,65.49274159991182,correct,happy,white,female,20,200,220,23
63,ah,40,Danish,male,./final_images\BM13_HC_happy.jpg,i,67.02179829985835,correct,happy,black,male,20,200,220,22
64,ah,40,Danish,male,./final_images\BM03_SC_sad.jpg,e,67.82092999992892,correct,sad,black,male,30,100,130,32
65,ah,40,Danish,male,./final_images\WM01_NC_neutral.jpg,e,68.72477760002948,neutral,neutral,white,male,40,100,140,43
66,ah,40,Danish,male,./final_images\WM06_HO_happy.jpg,i,69.56082349992357,correct,happy,white,male,20,200,220,23
67,ah,40,Danish,male,./final_images\AF05_HO_happy.jpg,i,70.44184879981913,correct,happy,asian,female,20,200,220,21
68,ah,40,Danish,male,./final_images\WF03_NC_neutral.jpg,e,71.53785169986077,neutral,neutral,white,female,40,100,140,43
69,ah,40,Danish,male,./final_images\BM09_NO_neutral.jpg,e,72.87489490001462,neutral,neutral,black,male,40,100,140,42
70,ah,40,Danish,male,./final_images\AF02_HC_happy.jpg,i,73.8048298000358,correct,happy,asian,female,20,200,220,21
71,ah,40,Danish,male,./final_images\BF13_SO_sad.jpg,e,75.09779989998788,correct,sad,black,female,30,100,130,32
72,ah,40,Danish,male,./final_images\WM10_SO_sad.jpg,e,76.27391959982924,correct,sad,white,male,30,100,130,33
73,ah,40,Danish,male,./final_images\AM07_HO_happy.jpg,i,77.45485470001586,correct,happy,asian,male,20,200,220,21
74,ah,40,Danish,male,./final_images\WF01_NC_neutral.jpg,e,78.53183580003679,neutral,neutral,white,female,40,100,140,43
75,ah,40,Danish,male,./final_images\BF10_NO_neutral.jpg,i,79.40479759988375,neutral,neutral,black,female,40,200,140,42
76,ah,40,Danish,male,./final_images\AF08_SO_sad.jpg,i,80.29786759987473,incorrect,sad,asian,female,30,200,50,31
77,ah,40,Danish,male,./final_images\AF02_SC_sad.jpg,e,81.15585249988362,correct,sad,asian,female,30,100,130,31
78,ah,40,Danish,male,./final_images\BM16_NC_neutral.jpg,e,82.31178210000508,neutral,neutral,black,male,40,100,140,42
79,ah,40,Danish,male,./final_images\BM11_NO_neutral.jpg,e,83.76878389995545,neutral,neutral,black,male,40,100,140,42
80,ah,40,Danish,male,./final_images\WF08_HC_happy.jpg,i,84.83978349994868,correct,happy,white,female,20,200,220,23
